sku,name,matchName,similarity,imageUrl,status
4927,"AC MORANDO NEGRA RODAJA 1.6K","Moto Rondi R1 Team Rojo",0.00,https://static.cotodigital3.com.ar/sitios/fotos/large/00522200/00522234.jpg,skipped
5684,"AC MORANDO PREMIUM VERDE 000 1K","Alfombra Tejida Rayada Color Verde Y Crudo 220x160 Cm",0.13,https://static.cotodigital3.com.ar/sitios/fotos/large/00542100/00542144.jpg,skipped
1412,"AC MORANDO RELLENA 5K BALDE","Balde Albañil Con Manija X 11 L",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00491600/00491614.jpg,skipped
5412,"AC MORANDO VERDE 00 2KG","Pava Acero Inox 1,5lt Verde . . .",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00513300/00513346.jpg,skipped
1204,"AC MORANDO VERDE DESC 180G DOY PACK","Aceitunas Verdes Vanoli 300g",0.00,https://static.cotodigital3.com.ar/sitios/fotos/large/00262700/00262716.jpg,skipped
1090,"AC MORANDO VERDE DESCAR. 1.6K PET","Sarten Hierro Enlozad 16cm Verde . . .",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00598700/00598784.jpg,skipped
2210,"AC MORANDO VERDE DESCAR. 4K GARRAFA","Bifera Hierro Enlozado Verde",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00531200/00531239.jpg,skipped
417,"AC MORANDO VERDE N0 1K PET","Pava Acero Inox 1,5lt Verde . . .",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00513300/00513346.jpg,skipped
2916,"AC MORANDO VERDE N0 2K PET","Pava Acero Inox 1,5lt Verde . . .",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00513300/00513346.jpg,skipped
2233,"AC MORANDO VERDE N0 5K BALDE","Buzo Niña/O Liso Verde Talle 4",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588740.jpg,skipped
4171,"AC MORANDO VERDE N0 5K GARRAFA","Buzo Niña/O Estampa Verde Talle 1",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588704.jpg,skipped
2181,"AC MORANDO VERDE N3 2K PET","Buzo Niña/O Liso Verde Talle 3",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588738.jpg,skipped
2234,"AC MORANDO VERDE N3 5K BALDE","Buzo Niña/O Liso Verde Talle 3",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588738.jpg,skipped
6362,"AC MORANDO VERDE N3 5K GARRAFA","Buzo Niña/O Estampa Verde Talle 4",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588707.jpg,skipped
5886,"AC MORANDO VERDE N4 5K BALDE","Buzo Niña/O Liso Verde Talle 4",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588740.jpg,skipped
2143,"AC MORANDO VERDE N4 5K GARRAFA","Buzo Niña/O Estampa Verde Talle 4",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588707.jpg,skipped
3393,"AC MORANDO VERDE N5 1K PET","Pava Acero Inox 1,5lt Verde . . .",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00513300/00513346.jpg,skipped
5180,"AC MORANDO VERDE N5 2K","Pelota Futbol Maradona N5 Rosa",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00591000/00591099.jpg,skipped
1487,"AC MORANDO VERDE N5 5K BALDE","Pelota Futbol Maradona N5 Azul Y Oro",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00591100/00591103.jpg,skipped
1203,"AC MORANDO VERDE RELLENA 180G DOYPACK","Aceitunas Verdes Vanoli 300g",0.00,https://static.cotodigital3.com.ar/sitios/fotos/large/00262700/00262716.jpg,skipped
8611,"AC MORANDO VERDE RELLENA 1K SAL PET","Pava Acero Inox 1,5lt Verde . . .",0.14,https://static.cotodigital3.com.ar/sitios/fotos/large/00513300/00513346.jpg,skipped
2963,"AC MORANDO VERDE RELLENA 2K SAL PET","Zapatilla Lona Lisa Verde T 38",0.14,https://static.cotodigital3.com.ar/sitios/fotos/large/00615600/00615646.jpg,skipped
6414,"AC MORANDO VERDE RELLENA 5K GARRAFA","Aceitunas Verdes Rellena Yovinessa Fra 360 Grm",0.14,https://static.cotodigital3.com.ar/sitios/fotos/large/00515700/00515761.jpg,skipped
2574,"AC MORANDO VERDE RODAJA 3K","Buzo Niña/O Liso Verde Talle 3",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00588700/00588738.jpg,skipped
433,"AC VERDE MORANDO RELLEN 2K ACEITE","Pava Acero Inox 1,5lt Verde . . .",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00513300/00513346.jpg,skipped
1237,"ACEITE NATURA 1.5LT","Aceite Girasol NATURA Botella 1.5 L",0.50,https://static.cotodigital3.com.ar/sitios/fotos/large/00014000/00014076.jpg,preview
7130,"ACEITUNA CHIRO 1.5K VERDE DESC N0","Aceituna Verde Descarozadas Castell 850gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
8716,"ACEITUNA CHIRO 1.5K VERDE DESC N1","Aceituna Verde Castell 800gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00055800/00055826.jpg,skipped
6486,"ACEITUNA CHIRO 12K N0 DESC","Aceituna Verde Descarozadas Castell 850gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
8077,"ACEITUNA CHIRO 15K N1 BALDE","Aceituna Verde Descarozadas Castell 850gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
6230,"ACEITUNA CHIRO 15K N1 NEGRA","Aceituna Verde Descarozadas Castell 850gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
306,"ACEITUNA CHIRO 15K N1 RELLENA","Aceituna Verde Castell 800gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00055800/00055826.jpg,skipped
8962,"ACEITUNA CHIRO 2KG FILET NEGRA","Filet Arrollado Coto X Kg",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00017600/00017680.jpg,skipped
6408,"ACEITUNA CHIRO 4K VERDE DESC N0","Aceituna Verde Descarozadas Castell 850gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
3451,"ACEITUNA CHIRO 5K VERDE N0 GARRAFA","Aceituna Verde Descarozadas Castell 850gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
7514,"ACEITUNA CHIRO 5K VERDE N1 GARRAFA","Aceituna Verde Castell 800gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00055800/00055826.jpg,skipped
299,"ACEITUNA CHIRO 5K VERDE N2 GARRAFA","Aceituna Verde Castell 800gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00055800/00055826.jpg,skipped
6317,"ACEITUNA CHIRO 5K VERDE N3 GARRAFA","Aceituna Verde Descarozadas Castell 850gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
7336,"ACEITUNA CHIRO 5K VERDE N4 GARRAFA","Aceituna Verde Descarozadas Castell 850gr",0.33,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
2465,"ACEITUNA CHIRO 700G BOTELLA","Aceite Oliva Virgen Extra DOS ANCLAS Botella 2 L",0.14,https://static.cotodigital3.com.ar/sitios/fotos/large/00498100/00498117.jpg,skipped
6411,"ACEITUNA CHIRO DESC N0 750GR","Aceituna Verde Descarozadas Castell 850gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
4151,"ACEITUNA CHIRO DESC N1 4K BALDE","Aceituna Verde Descarozadas Castell 850gr",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
3944,"ACEITUNA CHIRO DESC N1 4K GARRAFA","Aceituna Verde Descarozadas Castell 850gr",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
8715,"ACEITUNA CHIRO FILETEADA 1KG VERD","Aceituna Verde Descarozadas Castell 850gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
9055,"ACEITUNA CHIRO N0 15K NEGRA","Aceituna Verdes Rellenas Con Morrones Yovinessa 160g",0.14,https://static.cotodigital3.com.ar/sitios/fotos/large/00007100/00007108.jpg,skipped
8008,"ACEITUNA CHIRO N0 2K NEGRA","Aceitunas Verdes En Rodajas Nucete 220 Grm",0.00,https://static.cotodigital3.com.ar/sitios/fotos/large/00548300/00548387.jpg,skipped
8964,"ACEITUNA CHIRO N0 5KG BALDE","Aceituna Verde Descarozadas Castell 850gr",0.20,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
3728,"ACEITUNA CHIRO N0 RELL 5K GARRAFA","Aceituna Verde Descarozadas Castell 850gr",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00235200/00235212.jpg,skipped
4903,"ACEITUNA CHIRO N1 1K VERD RELLE","Aceituna Verde Castell 800gr",0.17,https://static.cotodigital3.com.ar/sitios/fotos/large/00055800/00055826.jpg,skipped
6404,"ACEITUNA CHIRO N1 2K RELL CHIRO","Aceitunas Rell.Con Anchoas YBARRA Fra 240 Grm",0.13,https://static.cotodigital3.com.ar/sitios/fotos/large/00203400/00203428.jpg,skipped
